team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
CTU,CTU,,,,,4.076923076923077,-7.769230769230769,73.61538461538461,68.84615384615384
CTU,KHI,1.0,0.0,1.0,1.0,,,,
CTU,LJU,0.0,1.0,1.0,0.0,,,,
CTU,MAD,1.0,0.0,1.0,1.0,,,,
CTU,NAN,1.0,0.0,1.0,1.0,,,,
CTU,OLY,1.0,0.0,1.0,1.0,,,,
CTU,PAN,0.0,1.0,1.0,0.0,,,,
CTU,TEL,1.0,0.0,1.0,1.0,,,,
CTU,ULK,1.0,1.0,2.0,0.0,,,,
CTU,ZAL,1.0,0.0,1.0,1.0,,,,
DAR,BAM,1.0,1.0,2.0,0.0,,,,
DAR,BAR,1.0,1.0,2.0,0.0,,,,
DAR,BAS,2.0,0.0,2.0,1.0,,,,
DAR,BUD,1.0,0.0,1.0,1.0,,,,
DAR,CAN,0.0,1.0,1.0,0.0,,,,
DAR,CED,0.0,1.0,1.0,0.0,,,,
DAR,CSK,1.0,2.0,3.0,0.0,,,,
DAR,DAR,,,,,-0.22727272727272727,-9.136363636363637,76.95454545454545,75.1590909090909
DAR,GAL,1.0,0.0,1.0,1.0,,,,
DAR,IST,0.0,3.0,3.0,0.0,,,,
DAR,KHI,1.0,0.0,1.0,1.0,,,,
DAR,MAD,1.0,3.0,4.0,0.0,,,,
DAR,MAL,2.0,0.0,2.0,1.0,,,,
DAR,MIL,0.0,2.0,2.0,0.0,,,,
DAR,MUN,1.0,0.0,1.0,1.0,,,,
DAR,OLY,1.0,1.0,2.0,0.0,,,,
DAR,PAN,1.0,2.0,3.0,0.0,,,,
DAR,RED,2.0,0.0,2.0,1.0,,,,
DAR,SAS,1.0,0.0,1.0,1.0,,,,
DAR,TEL,1.0,2.0,3.0,0.0,,,,
DAR,TIV,1.0,0.0,1.0,1.0,,,,
DAR,ULK,1.0,2.0,3.0,0.0,,,,
DAR,UNK,1.0,0.0,1.0,1.0,,,,
DAR,ZAL,0.0,2.0,2.0,0.0,,,,
DYR,ASV,2.0,0.0,2.0,1.0,,,,
DYR,BAR,2.0,2.0,4.0,0.0,,,,
DYR,BAS,2.0,1.0,3.0,1.0,,,,
DYR,BER,2.0,1.0,3.0,1.0,,,,
DYR,CSK,0.0,2.0,2.0,0.0,,,,
DYR,DYR,,,,,0.5777777777777777,-1.6666666666666667,76.17777777777778,75.42222222222222
DYR,IST,2.0,0.0,2.0,1.0,,,,
DYR,KHI,0.0,2.0,2.0,0.0,,,,
DYR,MAD,0.0,3.0,3.0,0.0,,,,
DYR,MCO,0.0,1.0,1.0,0.0,,,,
DYR,MIL,2.0,0.0,2.0,1.0,,,,
DYR,MUN,2.0,1.0,3.0,1.0,,,,
DYR,OLY,2.0,1.0,3.0,1.0,,,,
DYR,PAM,0.0,2.0,2.0,0.0,,,,
DYR,PAN,1.0,1.0,2.0,0.0,,,,
DYR,RED,1.0,2.0,3.0,0.0,,,,
DYR,TEL,2.0,1.0,3.0,1.0,,,,
DYR,ULK,0.0,3.0,3.0,0.0,,,,
DYR,ZAL,2.0,0.0,2.0,1.0,,,,
GAL,BAM,0.0,1.0,1.0,0.0,,,,
GAL,BAR,1.0,3.0,4.0,0.0,,,,
GAL,BAS,0.0,2.0,2.0,0.0,,,,
GAL,BER,0.0,1.0,1.0,0.0,,,,
GAL,CSK,1.0,2.0,3.0,0.0,,,,
GAL,DAR,1.0,0.0,1.0,1.0,,,,
GAL,GAL,,,,,-0.2916666666666667,-8.183673469387756,77.64583333333333,72.08163265306122
GAL,GSS,1.0,0.0,1.0,1.0,,,,
GAL,IST,1.0,1.0,2.0,0.0,,,,
