game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2023_092,MUN-VIR,11,REGULAR SEASON,E2023,MUN,VIR,10,2,17,11,20,11,26,13,17,20,8,5,6,7,4,4,3,1,8,8,12,7,58,32,56,20,10,17,36-46,21,46-46,7,2,2-0,3,2-7,15,14,37,14,88-73,23-37
E2023_093,ULK-MAD,11,REGULAR SEASON,E2023,ULK,MAD,8,16,17,12,13,12,22,14,15,30,4,7,12,2,4,4,3,1,7,7,12,3,50,50,70,29,10,15,23-35,17,33-35,10,4,11-10,7,11-20,0,14,0,34,,64-78
E2023_094,TEL-BER,11,REGULAR SEASON,E2023,TEL,BER,13,11,27,17,11,19,25,13,11,21,8,8,13,7,9,3,5,1,15,12,8,10,54,48,49,32,10,30,81-66,35,91-66,7,15,43-23,15,43-30,27,2,38,2,98-71,2-4
E2023_095,PAR-PAN,11,REGULAR SEASON,E2023,PAR,PAN,10,2,20,17,14,10,28,11,9,26,7,7,11,1,6,3,8,3,9,6,16,4,51,41,61,26,11,17,28-36,20,39-36,10,30,54-54,33,54-64,8,10,44,33,88-80,54-64
E2023_096,MIL-ZAL,11,REGULAR SEASON,E2023,MIL,ZAL,2,6,11,11,9,16,16,11,12,19,7,4,7,5,4,3,4,2,9,3,11,5,46,24,68,15,7,25,42-54,28,49-54,9,16,27-29,19,27-38,3,13,11,24,21-18,36-49
E2023_097,RED-IST,11,REGULAR SEASON,E2023,RED,IST,8,9,22,14,15,12,30,6,13,20,9,5,12,2,3,5,7,1,13,8,14,2,72,25,67,16,10,24,58-61,26,68-61,7,17,38-37,18,38-44,17,9,40,20,97-80,40-49
E2023_098,BAR-ASV,11,REGULAR SEASON,E2023,BAR,ASV,2,4,16,17,4,15,21,11,3,16,7,8,8,3,3,1,7,4,18,8,16,7,67,34,57,35,7,19,45-47,21,52-47,12,29,78-64,31,78-76,14,2,28,19,76-62,45-47
E2023_099,PAM-BAS,11,REGULAR SEASON,E2023,PAM,BAS,12,15,16,12,9,17,19,10,14,30,4,4,6,10,7,4,3,2,8,8,18,7,46,38,46,52,7,12,24-22,14,31-22,10,33,72-73,35,72-83,12,16,18,40,42-30,82-98
E2023_100,BER-ZAL,12,REGULAR SEASON,E2023,BER,ZAL,0,6,13,16,11,2,20,5,16,29,8,5,13,10,5,6,5,2,6,3,9,3,42,22,39,23,9,7,4-20,9,13-20,11,5,4-9,7,4-20,2,16,40,7,64-62,4-20
E2023_101,IST-PAN,12,REGULAR SEASON,E2023,IST,PAN,6,6,19,7,14,12,21,6,19,26,9,0,11,5,5,1,5,1,13,4,6,8,58,13,51,17,7,1,0-2,2,7-2,7,21,38-31,22,38-38,13,4,14,33,30-17,54-58
E2023_102,MUN-MIL,12,REGULAR SEASON,E2023,MUN,MIL,2,7,6,21,18,0,33,2,11,20,7,9,1,6,1,2,4,5,7,6,8,7,62,29,52,32,11,16,29-37,19,40-37,9,37,68-65,39,68-74,9,8,23,16,48-39,29-37
E2023_103,OLY-MAD,12,REGULAR SEASON,E2023,OLY,MAD,5,8,19,7,17,9,18,8,17,26,4,2,6,7,4,2,2,4,12,3,15,2,50,21,48,29,7,18,29-37,20,36-37,6,2,2-0,3,2-6,2,8,2,18,2-0,29-37
E2023_104,PAR-MCO,12,REGULAR SEASON,E2023,PAR,MCO,10,6,14,15,7,13,27,14,9,22,14,2,6,6,3,0,5,1,12,4,10,7,60,29,55,30,9,2,2-2,4,11-2,8,15,25-23,17,25-31,9,6,4,17,11-2,25-31
E2023_105,ASV-TEL,12,REGULAR SEASON,E2023,ASV,TEL,8,16,16,8,8,14,21,15,11,28,5,3,7,3,4,5,2,2,11,8,13,6,54,37,61,33,15,14,22-33,17,37-33,10,10,19-14,12,19-24,5,11,10,14,19-14,22-33
E2023_106,BAS-ULK,12,REGULAR SEASON,E2023,BAS,ULK,9,6,17,10,12,12,19,9,17,21,5,10,9,4,4,3,4,2,7,7,14,5,41,39,54,25,11,17,25-35,19,36-35,10,5,8-8,10,8-18,6,15,36,13,70-64,16-31
E2023_107,PAM-RED,12,REGULAR SEASON,E2023,PAM,RED,9,6,15,12,8,7,23,5,7,32,4,4,8,8,9,3,1,3,11,8,8,11,42,43,38,43,8,28,62-61,30,70-61,8,23,60-47,26,60-55,16,2,19,2,53-37,0-2
E2023_108,VIR-BAR,12,REGULAR SEASON,E2023,VIR,BAR,0,0,26,11,16,6,24,7,14,26,10,3,10,7,6,3,2,3,15,2,15,5,47,33,41,34,10,29,51-61,31,61-61,10,12,20-26,15,20-36,5,16,35,15,68-63,20-36
E2023_109,BER-IST,13,REGULAR SEASON,E2023,BER,IST,0,4,14,29,15,5,17,11,12,16,12,7,9,5,3,1,8,0,12,2,21,1,52,37,70,27,11,16,25-32,19,36-32,9,2,4-2,5,4-11,8,10,22,40,45-37,87-97
E2023_110,PAN-MAD,13,REGULAR SEASON,E2023,PAN,MAD,9,12,10,13,13,7,16,8,12,28,5,4,9,5,5,2,2,4,11,1,16,5,49,29,50,40,14,13,26-35,17,40-35,12,23,51-48,26,51-60,6,18,19,29,45-39,52-70
E2023_111,PAR-MIL,13,REGULAR SEASON,E2023,PAR,MIL,3,6,19,13,11,10,19,11,6,18,7,3,7,5,1,3,3,1,3,10,11,5,42,40,45,24,15,31,61-64,37,76-64,11,23,45-49,26,45-60,13,15,40,26,82-69,45-60
